Date,Price,Open,High,Low,Change %,VaR,rf,kelly,kelly_ratio,portfolio,equity,cash
08/21/2013,1642.8,1650.66,1656.99,1639.43,-0.0058,-0.0138,0.02,-0.13120286054294558,-0.0013120286054294557,1.7769477966787606e+16,-63861541752412.734,1.8190386307643636e+16
08/22/2013,1656.96,1645.03,1659.55,1645.03,0.0086,-0.0138,0.02,-0.6306401175481051,-0.006306401175481051,1.8126524765891224e+16,-64410751011483.48,1.8554194033796508e+16
08/23/2013,1663.5,1659.92,1664.85,1654.81,0.0039000000000000003,-0.0138,0.02,-0.5022709735080367,-0.0050227097350803674,1.8489783282785024e+16,-64661952940428.266,1.892527791447244e+16
08/26/2013,1656.78,1664.29,1669.51,1656.02,-0.004,-0.0138,0.02,-0.033615959319206065,-0.0003361595931920607,1.8860615961532012e+16,-64403305128666.555,1.930378347276189e+16
08/27/2013,1630.48,1652.54,1652.54,1629.05,-0.0159,-0.0139,0.02,-0.5292189010768639,-0.005292189010768639,1.923938016763322e+16,-63379292577120.76,1.968985914221713e+16
08/28/2013,1634.96,1630.25,1641.18,1627.47,0.0027,-0.0139,0.02,-0.5344115062522257,-0.0053441150625222564,1.962647984964001e+16,-63550416667078.98,2.008365632506147e+16
08/29/2013,1638.17,1633.5,1646.41,1630.88,0.002,-0.0139,0.02,-0.5587114580664301,-0.005587114580664301,2.002010590839439e+16,-63677517500413.13,2.04853294515627e+16
08/30/2013,1632.97,1638.89,1640.08,1628.05,-0.0032,-0.0139,0.02,-0.8129225759482175,-0.008129225759482175,2.042165193406229e+16,-63473749444411.81,2.0895036040593956e+16
09/03/2013,1639.77,1635.95,1651.35,1633.41,0.0042,-0.0139,0.02,-0.872023775165643,-0.00872023775165643,2.0831562291149544e+16,-63740339192078.34,2.1312936761405836e+16
09/04/2013,1653.08,1640.72,1655.72,1637.41,0.008100000000000001,-0.0139,0.02,-0.975406489978288,-0.00975406489978288,2.1249196422213756e+16,-64256635939534.18,2.173919549663395e+16
09/05/2013,1655.08,1653.28,1659.17,1653.07,0.0012,-0.0139,0.02,-0.3804836620528534,-0.0038048366205285337,2.1674938860694416e+16,-64333743902661.625,2.217397940656663e+16
09/06/2013,1655.17,1657.44,1664.83,1640.62,0.0001,-0.0139,0.02,-0.48816906646719804,-0.004881690664671981,2.2109645662663972e+16,-64340177277051.89,2.2617458994697964e+16
09/09/2013,1671.71,1656.85,1672.4,1656.85,0.01,-0.0139,0.02,-0.2126748650714421,-0.002126748650714421,2.255311881742091e+16,-64983579049822.41,2.3069808174591924e+16
09/10/2013,1683.99,1674.32,1684.09,1674.32,0.0073,-0.0139,0.02,-0.23514193433251449,-0.0023514193433251448,2.30048245955421e+16,-65457959176886.12,2.3531204338083764e+16
09/11/2013,1689.13,1681.04,1689.13,1678.7,0.0031,-0.0139,0.02,0.061864510454970996,0.00061864510454971,2.3465746378906876e+16,-65660878850334.47,2.400182842484544e+16
