Date,Price,Open,High,Low,Change %,Change,trix,buy_signal,sell_signal,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
04/15/2016,2075.0,2077.75,2080.0,2069.5,-0.07%,-0.0007000000000000001,0.14449507335422923,False,False,2.6313607637495906e-05,-0.0187,1.7723134761378925,1.7723134761378925,2.448354364758636,0.0,2.448354364758636
04/18/2016,2086.75,2064.25,2088.75,2058.5,0.57%,0.005699999999999999,0.1797759087060182,False,False,2.6710975744803633e-05,-0.0182,2.457682524314473,2.457682524314473,2.4484197626926876,0.0,2.4484197626926876
04/19/2016,2093.75,2085.25,2098.5,2084.75,0.34%,0.0034000000000000002,0.21167098523532396,False,False,2.591620020964136e-05,-0.0182,3.0234294632534215,3.0,2.4484832164294548,0.0,2.4484832164294548
04/20/2016,2098.0,2094.25,2105.25,2085.75,0.20%,0.002,0.2339071542183321,False,False,2.7902844222715828e-05,-0.0182,3.5028354971632902,3.0,2.448551536075225,0.0,2.448551536075225
04/21/2016,2082.75,2097.75,2104.0,2078.75,-0.73%,-0.0073,0.21133190055575352,False,False,2.8697226749585525e-05,-0.0182,3.1464399676753696,3.0,2.4486218027138635,0.0,2.4486218027138635
04/22/2016,2086.0,2079.75,2089.0,2075.0,0.16%,0.0016,0.17940402753213094,False,False,2.9094359098591482e-05,-0.0182,3.626810243160837,3.0,2.4486930437958883,0.0,2.4486930437958883
04/25/2016,2083.25,2091.5,2091.5,2071.0,-0.13%,-0.0013,0.1414491236629084,False,False,2.9888506007269555e-05,-0.0182,3.5249936287647814,3.0,2.4487662315726375,0.0,2.4487662315726375
04/26/2016,2088.5,2084.25,2091.25,2079.5,0.25%,0.0025,0.11570982898768606,False,False,3.0285520582484793e-05,-0.0182,3.1493225450520654,3.0,2.4488403937327456,0.0,2.4488403937327456
04/27/2016,2090.75,2082.25,2094.0,2076.25,0.11%,0.0011,0.09997218669175548,False,False,2.7902844222715828e-05,-0.0182,2.9291361112167253,2.9291361112167253,2.448908723344778,0.0,2.448908723344778
04/28/2016,2072.5,2092.5,2094.25,2065.25,-0.87%,-0.0087,0.05507045963896231,False,False,2.5518753453912524e-05,-0.0182,2.159453454175756,2.159453454175756,2.4489712164427204,0.0,2.4489712164427204
04/29/2016,2059.0,2073.75,2076.0,2045.75,-0.65%,-0.006500000000000001,-0.012836933273916228,True,False,2.4326177140210348e-05,-0.0182,2.1790420386594436,2.1790420386594436,2.449030790550343,5.336541046580568,-2.8875102560302253
05/02/2016,2074.25,2060.75,2077.5,2055.5,0.74%,0.0074,-0.042357919365501755,False,False,2.7108304539558148e-05,-0.0182,2.0504209050760362,2.0504209050760362,2.4884429187876584,5.376031450325265,-2.887588531537607
05/03/2016,2057.0,2075.5,2076.25,2048.0,-0.83%,-0.0083,-0.082017248445439,False,False,2.6710975744803633e-05,-0.0182,1.6113475536410726,1.6113475536410726,2.443744727442732,5.331410389287566,-2.8876656618448338
05/04/2016,2047.0,2057.5,2060.25,2039.0,-0.49%,-0.0049,-0.1292467591746319,False,False,2.6313607637495906e-05,-0.0182,1.5143990602844692,1.5143990602844692,2.4175448316340082,5.305286478380056,-2.887741646746048
05/05/2016,2044.0,2046.5,2060.0,2039.5,-0.15%,-0.0015,-0.16717452724597906,False,False,2.47237419270796e-05,-0.0182,1.1554242390254923,1.1554242390254923,2.409515506137212,5.297328548662486,-2.8878130425252744
05/06/2016,2052.75,2043.5,2054.5,2030.5,0.43%,0.0043,-0.17082591333468494,False,False,2.6313607637495906e-05,-0.0182,1.3732724621200536,1.3732724621200536,2.4322180301171286,5.3201070614217345,-2.887889031304606
05/09/2016,2054.25,2053.0,2059.75,2048.25,0.07%,0.0007000000000000001,-0.154371616233722,False,False,2.6313607637495906e-05,-0.0182,1.1594003381474125,1.1594003381474125,2.435866114281253,5.3238311363647295,-2.8879650220834763
05/10/2016,2077.5,2054.0,2079.75,2048.0,1.13%,0.0113,-0.08880646085979133,False,False,2.512126736231579e-05,-0.0182,1.164735495888484,1.164735495888484,2.4959528567807223,5.383990428205651,-2.888037571424929
05/11/2016,2058.0,2077.25,2078.75,2057.5,-0.94%,-0.009399999999999999,-0.05725557298691701,False,False,2.47237419270796e-05,-0.0182,0.9014109325336382,0.9014109325336382,2.4452719436599977,5.333380918180518,-2.8881089745205206
05/12/2016,2058.75,2059.0,2072.75,2048.5,0.04%,0.0004,-0.040525898887547186,False,False,2.512126736231579e-05,-0.0182,0.9863021227015425,0.9863021227015425,2.4473327430695493,5.33551427054779,-2.888181527478241
05/13/2016,2043.5,2059.25,2063.5,2038.5,-0.74%,-0.0074,-0.058422006431107634,False,False,2.392857299393647e-05,-0.0182,0.5966596956836471,0.5966596956836471,2.4077808274049963,5.296031464945737,-2.888250637540741
05/16/2016,2062.75,2041.25,2068.5,2035.0,0.94%,0.009399999999999999,-0.04522015027596872,False,False,2.47237419270796e-05,-0.0182,0.7242813843083415,0.7242813843083415,2.4574921148121036,5.345814160716228,-2.888322045904124
05/17/2016,2043.5,2062.0,2069.5,2036.75,-0.93%,-0.009300000000000001,-0.05914033272374163,False,False,2.4326177140210348e-05,-0.0182,0.4891739324295442,0.4891739324295442,2.407705781283716,5.296098089021567,-2.888392307737851
05/18/2016,2041.5,2043.75,2057.75,2030.75,-0.10%,-0.001,-0.07893065297392397,False,False,2.7902844222715828e-05,-0.0182,0.30787181189039414,0.30787181189039414,2.4023290888340774,5.290801990932545,-2.8884729020984676
05/19/2016,2038.75,2043.5,2044.75,2022.0,-0.13%,-0.0013,-0.09739764341255933,False,False,2.830005512688416e-05,-0.0182,0.2316410296655302,0.2316410296655302,2.395369302303503,5.2839239483443325,-2.8885546460408293
05/20/2016,2050.0,2038.75,2055.5,2037.25,0.55%,0.0055000000000000005,-0.08684803452660778,False,False,2.830005512688416e-05,-0.0182,0.39471609069596053,0.39471609069596053,2.4243491377636777,5.312985530060227,-2.8886363922965494
05/23/2016,2045.25,2053.25,2056.0,2043.5,-0.23%,-0.0023,-0.07576038472357424,False,False,2.8697226749585525e-05,-0.0182,0.35288292016350004,0.35288292016350004,2.4120463751909926,5.300765663341089,-2.8887192881500963
05/24/2016,2075.0,2045.0,2077.25,2041.25,1.45%,0.014499999999999999,-0.010880424501166268,False,False,2.9094359098591482e-05,-0.0182,0.7022191202876935,0.7022191202876935,2.4888234318731337,5.377626765459534,-2.8888033335864005
05/25/2016,2087.25,2075.0,2092.5,2073.5,0.59%,0.0059,0.07567619021499036,False,True,2.9094359098591482e-05,-0.0182,0.843790733468469,0.843790733468469,2.520467381907792,0.0,2.520467381907792
05/26/2016,2089.75,2088.75,2091.75,2082.5,0.12%,0.0012,0.14779571237480343,False,False,2.7902844222715828e-05,-0.0182,0.7695247028977665,0.7695247028977665,2.520537710116518,0.0,2.520537710116518
05/27/2016,2097.25,2090.5,2098.75,2088.0,0.36%,0.0036,0.2047715697251296,False,False,2.830005512688416e-05,-0.0182,0.8842381293357239,0.8842381293357239,2.520609041472664,0.0,2.520609041472664
05/29/2016,2101.5,2099.62,2103.25,2099.5,0.20%,0.002,0.24230497089973183,False,False,2.830005512688416e-05,-0.0182,0.8757336441358254,0.8757336441358254,2.520680374847491,0.0,2.520680374847491
05/30/2016,2101.25,2101.25,2103.75,2099.75,-0.01%,-0.0001,0.25470988129617944,False,False,2.830005512688416e-05,-0.0182,0.7367853190692543,0.7367853190692543,2.5207517102410564,0.0,2.5207517102410564
05/31/2016,2095.0,2100.0,2103.75,2086.0,-0.30%,-0.003,0.23572165956713384,False,False,2.9094359098591482e-05,-0.0182,0.562583361481847,0.562583361481847,2.5208250498965126,0.0,2.5208250498965126
06/01/2016,2098.0,2094.0,2099.25,2083.25,0.14%,0.0014000000000000002,0.20900506173834815,False,False,2.949145218189564e-05,-0.0182,0.597886636494986,0.597886636494986,2.5208993926879306,0.0,2.5208993926879306
06/02/2016,2103.75,2096.75,2104.75,2086.75,0.27%,0.0027,0.18941964236221734,False,False,2.830005512688416e-05,-0.0182,0.6228045244297066,0.6228045244297066,2.520970734279713,0.0,2.520970734279713
06/03/2016,2097.75,2103.5,2106.0,2082.75,-0.29%,-0.0029,0.15929442217537998,False,False,2.591620020964136e-05,-0.0182,0.5843377767733471,0.5843377767733471,2.5210360682619855,0.0,2.5210360682619855
06/06/2016,2108.25,2097.5,2112.25,2094.0,0.50%,0.005,0.1466177625361507,False,False,2.591620020964136e-05,-0.0182,0.7916626755203067,0.7916626755203067,2.5211014039374664,0.0,2.5211014039374664
