Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
10/05/2016,258.99,257.51,259.49,256.67,-0.07%,-0.0007000000000000001,2.074632195125936e-05,-0.0028000000000000004,1.435319159150996,1.435319159150996,0.3965812096464674,0.5692206083648524,-0.17263939871838505
10/06/2016,261.13,261.6,261.68,259.65,0.83%,0.0083,2.074632195125936e-05,-0.0028000000000000004,1.6682795922682017,1.6682795922682017,0.39658120964646737,0.5739451394142807,-0.17264298035093234
10/07/2016,260.06,261.17,261.53,259.73,-0.41%,-0.0040999999999999995,2.074632195125936e-05,-0.0028000000000000004,1.4527170557500138,0.0,0.4013021590633484,0.5715919643426821,-0.17264656205778534
10/10/2016,260.31,258.85,260.71,257.68,0.10%,0.001,2.074632195125936e-05,-0.0028000000000000004,1.2506816499833013,1.2506816499833013,0.3989454022848968,0.5721635563070248,-0.17265014383894556
10/11/2016,256.15,259.29,260.4,255.93,-1.60%,-0.016,2.193996159971512e-05,-0.0029,0.6576869200791393,0.0,0.3995134124680792,0.5630089394061124,-0.17265393177647156
10/12/2016,256.2,254.69,256.67,254.56,0.02%,0.0002,2.233776265980758e-05,-0.0028000000000000004,0.8661286131197056,0.8661286131197056,0.3903550076296408,0.5631215411939936,-0.17265778847902186
10/13/2016,253.93,256.19,256.6,253.79,-0.89%,-0.0089,2.193996159971512e-05,-0.0029,0.24608663435265377,0.0,0.39046375271497175,0.5581097594773671,-0.17266157658427098
10/14/2016,255.09,254.7,255.91,254.66,0.46%,0.0046,2.2735524321415568e-05,-0.0029,0.2773319277985386,0.2773319277985386,0.3854481828930961,0.5606770643709629,-0.17266550213574478
10/17/2016,256.19,255.9,257.07,253.71,0.43%,0.0043,2.074632195125936e-05,-0.0029,0.48294539457725616,0.48294539457725616,0.3880115622352181,0.563087975747758,-0.17266908430984196
10/18/2016,257.98,256.17,258.04,255.99,0.70%,0.006999999999999999,2.074632195125936e-05,-0.0029,0.7515224054705301,0.7515224054705301,0.3904188914379161,0.5670295915779923,-0.17267266655825608
10/19/2016,258.21,257.25,259.67,257.17,0.09%,0.0009,2.0348363219291343e-05,-0.0029,0.5383285157772866,0.5383285157772866,0.3943569250197362,0.5675399182104124,-0.17267618016439326
10/20/2016,258.41,258.55,259.28,257.8,0.08%,0.0008,2.0348363219291343e-05,-0.0028000000000000004,1.0162899916620558,1.0162899916620558,0.39486373804601915,0.5679939501449807,-0.17267969384202655
10/21/2016,257.26,258.16,258.39,256.82,-0.45%,-0.0045000000000000005,1.9950365049981045e-05,-0.0028000000000000004,1.0039644652552275,0.0,0.39531425630295414,0.5654379773693283,-0.17268313886495543
10/24/2016,259.48,257.83,259.48,257.76,0.86%,0.0086,2.074632195125936e-05,-0.0028000000000000004,1.239412618032816,1.239412618032816,0.39275483850437287,0.5703007439747045,-0.17268672140494987
10/25/2016,258.57,258.79,258.92,257.82,-0.35%,-0.0034999999999999996,1.955232743533486e-05,-0.0028000000000000004,1.4011230831120693,0.0,0.39761402256975464,0.5683046913707931,-0.17269009783227052
10/26/2016,255.52,257.73,257.73,254.13,-1.18%,-0.0118,1.955232743533486e-05,-0.0029,0.7069543666053685,0.0,0.3956145935385226,0.5615986960126177,-0.17269347432560817
10/27/2016,256.66,256.25,256.99,255.62,0.45%,0.0045000000000000005,2.233776265980758e-05,-0.0029,0.7912723872529023,0.7912723872529023,0.38890522168700953,0.5641258901446744,-0.17269733191145054
